book,chapter,paragragh,tag
万相,第七十二章 为什么要逼我？,“知道我接下来会做什么吗？”李洛望着师箜与宋云峰，淡淡的笑了笑，只是笑容中的寒意极为浓烈。“我说过，会让你们两人在前十就被淘汰。”师箜面色铁青，眼中掠过一抹恐惧之意，怒道：“李洛，你好狠！”在前十淘汰，就将会失去主动的录取名额，他甚至有可能进不了圣玄星学府，这对于师箜而言，无疑是极为惨重的代价。一旁的宋云峰也是怒吼道：“李洛，你不能这么做！你这是在激怒我们宋家与总督府！”“幼稚。”李洛摇了摇头，声音温和的道：“做错事情，就得付出代价，而现在，就是该你们为之前的所作所为付出代价的时候了。”他取下晶牌，直接是将师箜的积分全部的蹭走，然后把宗赋的晶牌取了下来，蹭走了宋云峰的积分，毕竟同学府间的人是不能互相抢夺积分。师箜，宋云峰积分瞬间归零。而此时李洛还鼓起掌：“让我们在这里恭喜师箜，宋云峰勇夺大考十一，十二名！”师箜，宋云峰面如死灰。,1
万相,第一百二十八章 双相显露,都泽北轩神色淡漠的道：“这个时候了，还要装腔作势吗？”他脚掌猛然一跺，手持重戟暴射而出，戟锋裹挟沸腾相力，直指李洛，就要将这场战斗终结。而面对着都泽北轩这等凌厉攻势，李洛却是立于原地，纹丝不动。戟锋在其眼瞳中急速的放大。就在那戟锋距离李洛面门不过短短尺许距离时，异变突生，只见得李洛身后的大树突然震动起来，一根闪烁着绿光的粗壮树枝如绿蟒般呼啸而下，直接是缠绕在了重戟枪身之上，令得重戟再也难以寸进。“木相之术？”“谁在插手我们之间的战斗？”突然间的变故，让得都泽北轩一惊，旋即厉声道。李洛笑道：“这里除了我们，还有别人吗？”都泽北轩瞳孔微缩，盯着李洛，讥讽道：“你什么意思？你想告诉我，这木相之术是你催动的？你在说什么蠢话，你明明是水相，根本无法催动木相之术！”李洛轻声一笑，道：“你先前不是问我，凭什么跟你斗么？那么现在，我就给你看一个大宝贝吧。”他双手合拢，下一刻，体内的两座相宫在此时同时的震荡起来，两股不同属性的相力自其中呼啸而出，最后于李洛的身体表面，缓缓的升起。蓝色相力，宛如水波。碧绿色的相力，充斥着勃勃生机。两种属性的相力在李洛的身体表面交汇涌动，泾渭分明的同时，却是没有出现任何的彼此抗拒。望着李洛身体表面上涌动的两股相力，都泽北轩的瞳孔在渐渐的放大。与此同时，李洛那幽幽的声音，似远似近的传来。“水相，我有。”“木相，我也有。”“不好意思，你没看错，我就是那传说中的...双相宫！”,1
万相,第一百二十九章 万树之缚与重水术,李洛，你个鼠辈，不敢站在我的面前，跟我正面相斗吗？！”他咆哮道。同时他的心中，渐渐的开始涌上一些恐慌，因为伴随着那沾染着重水的树藤不断攻击，他自身的相力开始在急速的消耗。短短片刻间，他已是感觉到自身开始在变得虚弱。这再加上李洛还在不断的骚扰，他的局面已经很不妙了。他愤怒的咆哮，口出污言，想要逼得李洛与他近身相斗，那样他才有一丝翻盘机会，但偏偏这李洛过于猥琐，反而在他的骂声中，射箭的频率更快了。太贱了！砰！最终，都泽北轩脚一软，数道树藤缠绕而来，直接是将其手中的重戟击飞，同时树藤飞快的叠了上来，将他双手双脚都是捆缚了起来。短短数息，就只剩下一个脑袋在外面。都泽北轩愤怒的挣扎，却是绝望的发现他根本无法挣脱这些沾染了重水术的树藤。而此时，李洛捡起重戟，来到都泽北轩的面前，手中重戟指着他的脸庞，沉声道：“我来了。”“来吧，让我们堂堂正正的打一场吧！”都泽北轩目眶欲裂，欲要咆哮怒骂，可一根树藤直接钻了过来，塞进嘴巴中，顿时声音变得呜呜起来。李洛见状，失望的摇摇头。“都泽府少府主与洛岚府少府主的第一场战斗，以都泽北轩不敢应战而结束。”都泽北轩怒极攻心，然后直接当场气晕了过去。,1
万相,第一百七十三章 我也喜欢,而就在师箜身影急退时，他突然见到侧面有着荧光相力如花粉般席卷而来，荧光倒映在眼瞳中，仿佛是一只妖艳的蝴蝶在扇动着翅膀，令得师箜脑海出现了短暂的空白。轰隆！体内运转的雷霆相力，在此时轰鸣出声，将师箜惊醒，那眼前妖艳的蝴蝶，早已不复存在。“是白萌萌！”师箜面色大变，因为此时他见到了在那不远处一颗大树下，冲着他露出甜甜笑容的白萌萌。“嘿，别看了，那是我们队的妹纸，你们队只有抠脚汉。”而就在他发现白萌萌时，一道笑声从旁边传进了耳中，与此同时，师箜眼角余光见到一只拳头重重的轰来，砸在了他的后脑勺上。砰！师箜后脑勺传来剧痛，然后眼前就开始迅速黑暗下来。在彻底失去知觉前，他听见了李洛的笑声：“你这次又失败了啊，没事，下次继续努力。”于是，师箜在极端悲愤之中，昏迷了过去。解决掉师箜，李洛这才转身，他望着场中唯一还站着的总督小队队长沈琊，脸庞上有笑容浮现出来。“听说你最喜欢以多打少？”李洛手中双刀斜指地面，而白萌萌的身影，也出现在了沈琊的后方，他望着沈琊那有些阴沉的面色，笑容更盛。“不好意思，我也喜欢...”,1
万相,第两百九十一章 英雄,眼下他以自身为饵，引动异类对他出手，如果三尾巨兽不甘心放弃他这块肥肉，那定然也会出手阻扰。而一旦三尾巨兽出手，那么笑脸魔也必然会被牵动。那时候，所谓的对峙，也就自然而然的被打破。一场李洛期待已久的大战，将会爆发。只不过...这终归都只是李洛的判断与猜测，谁也不知道三尾巨兽心中对笑脸魔的忌惮有多少，如果这个忌惮超过了一个度，这就会让得三尾巨兽犹豫，而很有可能，就是在这犹豫的片刻间，李洛...已经被众多异类活活的生吞了。那时候，可就真的死得悲催了。这显然是一场豪赌。以李洛生命为代价的豪赌。但李洛别无选择。李洛面沉如水，短短不过数息间，他就接近了那些异类的攻击范围，笑脸魔阴冷诡异的目光，也是落在了他的身上。不过笑脸魔没有动。但其他距离李洛最近的一些异类，却是按耐不住对鲜活血肉的贪婪，它们扭曲的身影如同巨蛙般的弹跳而起，张开了血盆大嘴，直接就对着李洛撕咬而去。那些异类在李洛的眼瞳中急速的放大。甚至他已是能够清晰的看见对方利齿中流淌下来的腥水。李洛也没有任何躲避的打算，他望着那些扑来的异类，心跳快得宛如捶鼓一般，咚咚的震得脑子都是出现了恍惚感。时间，仿佛是在这一瞬凝滞。轰！而也就在李洛觉得下一刻他将会被分尸的那一瞬，其上方突然有着狂暴的能量波动爆发，而后一股炽热的气息喷薄而来。,1
万相,第三百二十二章 六成六,“作弊！他一定是作弊了！”想到这些，韩植再也忍耐不住，声音都变得尖锐起来。“这位导师，你也是淬相师，应该也明白一个三品淬相师，怎么可能炼制得出来六成六的三品灵水，而且最重要的是，溪阳屋只有三星级配方，三星级的配方，能到这种程度？”韩植一步站出，厉声连连。场中其他几位五品淬相师，也是点头表示赞同，他们也不能接受自身输给了一名三品淬相师。那名导师神色淡淡，看向李洛，道：“你应该也有话要说吧？”李洛费尽心机藏到现在，无非就是要让溪阳屋在这场邀请会上面露脸，眼下这个场合，应该是最好的机会了。李洛露出笑容，这位导师倒是善解人意，他冲着对方点头致谢，然后在那众多目光的注视下上前一步。“这位背叛了溪阳屋的前会长，以前的溪阳屋的确只有三星级配方，不过因为你走之前一把火烧了溪阳屋的研究室，所以之后我溪阳屋奋发图强，最终在贵人的帮助下，呕心沥血的研究出了一道四星级的三品灵水配方。”“就是我现在炼制出来的这一瓶灵水，其名为“萌蝶灵水”。”“所以，可不要再用老黄历看人了。”,1
万相,第三百四十八章 群狼厮杀,那道人影面露狞笑，伸手抓来。轰！也就是在这个时刻，突然有着炽热狂暴的岩浆相力从天而降，仿佛一颗岩浆巨石砸落，重重的砸在了那道人影的身躯之上。大地震动，那道人影直接就被一脚踩进了地面，鲜血狂喷。哗！山林中众多蠢蠢欲动的队伍大惊失色，目光投去，便是见到那赵孑阳面露森然的踩在了那道偷袭者的脑袋上。他抬起头，深红炽热的相力于身体表面不断的流转，同时蕴含着凶气的低沉声音，响彻山林。“闲杂人等，滚出这里！”不少队伍勃然变色，因为他们知道，赵孑阳的出手，就代表着他选择了李洛给出的方式。金龙气这块美味的蛋糕，只有四支队伍够资格吃。而想要成为那四支队伍之一...那么就只能看最终谁能够留到最后了。山林间，寂静持续了数息，而后一道道相力波动猛然爆发，继而整个山林都被波及了进去。这一刻，原本的群狼环伺，变成了群狼厮杀。,1
万相,第三百六十六章 默契配合,但下一刻，他的茫然就散去，取而代之的是一股惊惧之意。因为他见到，李洛的面前，也是有着一面光镜凝炼而出，其内光滑如镜，倒映着射击而来的光隼箭。光隼箭射中了光镜，顿时再度折射而回，只不过这一次，光隼箭的速度仿佛是得到了某种加持一般，其速惊人，所过之处，连空气都被划开了一道细微的痕迹。唰！即便是以林梭的实力，都仅仅只能见到一道白光闪过，再然后，一股极端锐利的波动就出现在了前方，那股穿透力之强，直接是引得他心头有冷汗涌现而出。好快的速度！李洛这个混蛋，花招也太多了！他怎么能做到以这种镜面折射来提升光箭速度的？！然而这个时候，林梭也只能一声怒吼，体内相力尽数的爆发，身躯表面那一道怒目血影也是变得愈发的鲜红，然后血影双掌交叉，犹如盾牌一般，抵挡在了前方。嗤！光隼箭矢呼啸而至。然后直接是在李洛三人的目光注视下，与那血影相撞。噗嗤！一道细微的声音响起，血影双掌瞬间被洞穿，而后光矢以一种惊人之速，直接是击中了林梭胸口。砰！林梭的身影如遭重击，他一口鲜血喷出，身影倒飞了出去。吕清儿，秦逐鹿皆是在此时睁大了眼睛，那先前极为强势的林梭，终于是在这一刻，被击退了！,1
万相,第四百一十七章 水光相的衍变,四周的湖水在沉重的压迫而来，但那种沉重感并非来自湖水，而是来自陆苍那裹挟着惊人力量的一棍。死亡气息弥漫而来，然而李洛的心神却愈发的宁静。因为在那“水光相”的相宫内，散发着耀眼光芒的相力种子仿佛在如同一颗心脏般缓缓的跳动着，其内凝聚的相力已经达到了某种极限。咚咚！万物寂静，唯有心脏跳动的声音不断回荡。在那湖底，陆苍的棍影已是袭杀而来，不过短短十数丈。棍影上所散发的狂暴力量，搅起了湖底淤泥，清澈的湖水都在此时变得乌黑起来。咔嚓！寂静的心灵中，李洛突然听见了一道细微的破碎声，然后他的心神一动，就注视到了在那“水光相”相宫内，水光种子之上，竟是裂开了一道道的缝隙，下一瞬，光芒暴射，这一颗相力种子生生的爆碎开来。漫天的光雨从天而降。这些光雨很快于相宫中汇聚，渐渐的，竟是形成了一汪清澈的水池。水池散发着玄妙的气息，那是由李洛辛苦修炼而来的相力所凝聚衍变。而且，若是注视着水池内，则是会发现，在那水池中，仿佛是倒映着一颗璀璨神圣的光球，光球的光芒与水池融合在一起，令得这一汪水池也变得有些神圣起来。李洛的心中，有欢欣之意涌现。因为在这一刻，他终于是完成了水光相的衍变。,1
万相,第四百六十五章 两棍,轰！驮山金棍裹挟着惊人声势破空而至，然而李洛仰首望着那仿佛覆盖视野的惊天一棍，神色古井无波，只是手掌扶着刀柄，五指缓缓的紧握。体内的两股相力流淌，而后于体内交汇，融合。双相之力！只不过此次融合出来的双相之力，却仅仅只是“小融境”，并非是“合一境”，因为眼前孙大圣这一棍虽强，但却并未强到需要他动用合一境双相之力的地步。而在成功掌握了“合一境”的双相之力后，李洛已是能够自如的在两种境界中切换。双相之力流淌而出，直接是将金玉玄象刀所覆盖，而后李洛一步踏出，手中直刀直接猛然斩下。“千流水刀术！”嗡！那一瞬，仿佛是有着刀鸣声响彻而起，只见得一道十数丈左右的刀光伴随着李洛刀刃斩下，骤然暴射而出。那刀芒波光粼粼，犹如是万千水流在其中激流涌荡，释放着极其惊人的洞穿力。刀芒破空，发出了刺耳的尖啸之声。仅仅只是瞬息间，那一道刀光已是以极其惊人之速，与那呼啸而下的惊天金棍悍然相撞。铛！金铁之声陡然响彻而起。下一瞬，狂暴的相力冲击波于半空中肆虐开来，本就狼藉的四周遭受到了更为严重的摧残，大地上一道道沟壑被撕裂开来，四周的大树更是无一幸免。然而让得所有人都眼皮子一跳的是，当冲击波散去时，棍影与刀光竟然是尽数的消失。李洛的身影立于原地，手持古朴直刀，身影纹丝未动,1
万相,第四百七十六章 一刀,李洛认真的回答道：“先前人不多，就算打败了你们靠口耳相传恐怕震慑力也不够，所以我觉得等人多一点，效果会更好一些。”赵星影忍不住的怒笑出来：“李洛总队长的意思，是刚才在陪我们玩耍了？”“那倒不是，你也太妄自菲薄了，玩耍谈不上，但是可以说是热身。”李洛解释道。而后，他也不再理会三人眼中升腾而起的怒意，面色反而是渐渐变得愈发的平静，五指缓缓的紧握住玄象刀略显粗糙的刀柄。在他的体内，相力泡已经修炼到能够凝聚出十一颗的境界，距离最高层次也就仅有一颗之遥。只不过这十一颗相力泡中，有两颗是毒气泡，并不敢随意的动用。而其他的九颗相力泡，则是在此时瞬间破碎了七颗。滚滚相力自其中呼啸而出，同时李洛两座相宫内，同样是升腾起了雄浑相力。两道相力迅速的相撞，融合。双相之力！李洛目光如水，突然有一股极其强大的相力从其体内爆发，相力流转，渐渐的覆盖了手中的玄象刀，刀身之上，相力如水波般的流动，又带着昂扬的生机。金玉玄象刀在此时发出了细微的嗡鸣声。仿佛是一种淡淡的满足。而刀身在震动的时候，有一道蓝翠相间的相力光环，凝炼而出，环绕刀身。“合一境？！”这一道相力光环刚出现，赵星影三人便是猛然变色，显然也是有眼力劲的。“接得下这一刀，聚灵坛让给你们，又有何妨？”但李洛没有给他们过多震撼的时间，他言语平淡，紧握刀柄，而后一刀斩下。,1
万相,第五百零三章 李洛的破局,李洛手中玄象刀直接划起刀光削过。然后李洛手臂上大片黑色血肉被生生的剐了下来，甚至露出了白森森的骨头。李洛闷哼一声，立即催动体内相力化为治疗之力，顿时手臂上的血肉蠕动起来，开始渐渐的恢复。“你疯了？”李洛这自残的一幕落到幻阵中鹿鸣的眼中，顿时忍不住惊愕出声。然而，她此次的声音刚刚落下，她就感觉到了体内突然传来了剧烈的刺痛感，甚至连体内的相力，都是在此时开始紊乱起来。“怎么回事？”鹿鸣大惊失色，她急忙抬起手，只见得掌心中，竟是有着一抹黑色的毒斑在渐渐的扩散。那毒气异常的霸道，所过之处，连她自身的相力都是在纷纷溃散。“中毒了？！”鹿鸣心头有无尽寒意升起来。但是让得她惊骇的是，她究竟是什么时候中的毒？！,1
万相,第五百四十九章 身份,李洛同样是看见了黑甲人的暴退。他眼神微凝，突然间，暴喝出声：“黄楼统领，你的身份，你镇子上的兄弟还有老娘可知道？”李洛喝声如雷，而当他的声音落下的瞬间，那黑甲人面甲下的瞳孔骤然紧缩。一股惊怒之意由他心中升起。这个李洛，怎会知道他的身份？！这一瞬，黑甲人心神出现了瞬间的紊乱与震惊。而李洛眼中寒光一闪，抓住了他的破绽，拉动着弓弦，已经不断滴血的手指猛然松开。轰！霎那间，有狂暴的雷霆轰鸣，一抹雷光于这片区域之内绽放开来。雷光之中，仿佛是一条张牙舞爪的雷龙，怒发须张，龙鳞闪耀。雷光以一种无法形容的速度洞穿了空间，仅仅只是数息之间，便是趁那黑甲人的失神间，宛如天雷之势，重重的轰击在了其身躯外的那一层厚重黑甲之上。轰隆！恐怖至极的雷霆能量，在此时肆虐了开来。,1
