book,chapter,paragragh,tag
大主宰,第四百一十章,"万古不朽身，天地间九十九等至尊法身中，名列第四！

 牧尘神色呆滞，那手掌都是在微微的颤抖着，一种无法言明的战栗之感涌上心头，他无法想象，在这神秘黑纸中，竟然蕴藏着一篇如此可怕的东西

 天地间排名第四的至尊法身啊，这如果将消息放了出去，牧尘敢肯定，恐怕连北苍灵院都保不住他！

 因为这种诱惑太大了，无数至尊强者会变成疯子一般的来抢夺，而且还是不惜任何代价！

 虽然眼下他获得的只是一卷名为“大曰不灭身”的残篇，还并不是真正的“万古不朽身”，但不管怎么样，只要他将这至尊法身修炼成功，那他就是拥有了追逐那“万古不朽身”的资格，而待得他有朝一曰真的将其修炼成功，他有着自信，不论是落shen族，还是他娘所在的神秘之族，他都拥有了去闯荡的本钱！",2
大主宰,第六百三十六章,"天地间，无数人望着天空上那巨大而妖艳的花苞，面色有些呆滞，谁能想到，先前那还威风得不可一世的远古天龙鹰，竟然就这样的被降服了下来..

 那可是一头实力达到四品至尊的超级灵兽啊！

 就算是在座的一些灵院院长，恐怕都没把握说能够将其彻底的镇压，然而现在，却是被一个如此年轻的少年做到了。

 这一幕，就算是以高空中那些各大灵院院长的定力，都是忍不住的有些沉默，面面相觑间，心中都是有些震动，而后眼神复杂的望着那挺拔身躯的少年。

 此子不凡啊。",1
大主宰,第两百二十章 妖莲再现,"天地暗沉，天地灵气疯狂的汇聚而来，战台周围，所有人都是仰起头，眼中带着一丝骇然的望着天空。

 那里，风云汇聚，而在那搅动的风云之中，一道庞大无比的光阵，正在逐渐的成型着，光阵极端的复杂，那一条条勾勒的光线，犹如大自然的杰作，垂然天成。

 “他竟然能够布置出这种等级的灵阵...”

 无数人呆呆的望着那等复杂光阵，眼中满是不可思议，这般阵法，已经超越了三级灵阵的范畴，莫非，这牧尘，竟然达到了四级灵阵师的程度？

 那种等级的灵阵师，放眼北苍灵院的所有学员，都是极少极少，眼前的牧尘，竟然能够达到？",1
大主宰,第七百三十二章,"随着牧尘手掌握拢，只见得其右手之上，燃烧着紫炎的灵力熊熊涌起，而在其左手，灵力却是呈现透明之色，不过在那透明之中，仿佛是有着无形的雷音悄然的传出。

 右手不死，左手心魔！

 两种截然不同的灵力，在牧尘的双手涌动，这一幕，即便是以九幽的定力,那美目之中，都是有着异彩涌动起来。

 这个家伙，还真是厉害呢。",2
大主宰,第九百四十二章,唰。在先前牧尘所立之地，空间波荡，南阁主身影闪现而出，但扑了一个空的他，面色却是一片铁青，想来是有点没料到牧尘竟然滑溜到这种程度。钻入石军之中的牧尘则是冲着南阁主一声冷笑，手掌握住战意神盘，灵力猛然灌注而进。,1
大主宰,第一百六十章 神魄榜第三,"神魄榜第三名，牧尘，北苍灵院修行一天。

 “呃”

 北苍灵院的气氛仿佛是在这一瞬静了静，那无数道望着神魄榜的视线都是在此时愣了愣，北苍灵院修行一天？那不是今天才刚刚来到北苍灵院的新生吗？

 一个新生，竟然把盘踞在神魄榜上的老生给撵下去了？

 北苍灵院的安静仅仅持续了一瞬，便是轰然热闹起来，这种事情可多少年没出现过了？",1
大主宰,第四百四十一章,谁都能够感觉到，牧尘体内，此时堆积着多么庞大的力量。轰隆。在那雷海中，依旧还有着黑神雷不断的呼啸而来，降落在牧尘的身体上，炸起漫天雷光。牧尘的身体微微一颤，疯狂的吸收着侵入体内的黑神雷之力以及那种磅礴的灵力，那眉头却是微微皱起，那种爆发的感觉，还没来到……,1
大主宰,第八十二章 完虐,"然而面对着他这般凶狠的攻势，牧尘却是步伐轻移，犹如闲庭信步一般，任由那陈通如何的疯狂，都是无法沾染到他的半丝衣角。

 场中一幕，显得有些滑稽起来，一人疯狂攻击，一人却是悠闲而动，颇有些狂风暴雨，我自扁舟随浪起伏的味道。

 这个时候，就算是那些寻常人都是看出了一些差距，似乎眼前的两人，并不是在一个档次。",1
大主宰,第二十二章 死印之威,"青光剑尖，最终彻彻底底的蹦碎开来，罗统眼中也是有着惊骇之色涌现，身形急忙狼狈的倒射而出。

 牧尘并未追击，只是掌心一翻，那黑印便是消失而去，场中的波动也是缓缓的消散，但那周围，却是鸦雀无声，一道道惊愕的目光，怔怔的望着那道修长的身影，显然是有些无法想象，牧尘不仅挡下了罗统最厉害的攻势，还将其正面震退。

 “怎么可能...”

 姜立，滕勇他们目瞪口呆的望着这一幕，灵动境后期的罗统，竟然在灵动境中期的牧尘手中吃亏了？",1
大主宰,第七百六十章,"那是？”冰清他们突然惊讶出声，只见得在那牧尘的上空。空间剧烈的扭曲起来，只见得三道幽黑的黑莲，忽然凭空出现，它们出现的是那样的突兀。而且它们的波动，也与寻常灵力手段截然不同。

 “是灵阵！”

 终是有人失声叫道，那种复杂的阵纹以及奇特的灵力波动，竟是真正的灵阵波动。

 “这家伙竟然还是一个灵阵师？”冰清他们张大着嘴巴，牧尘隐藏的这一手，显然是有点出乎他们的意料，毕竟他们从未见过牧尘施展过灵阵。

 这三道黑莲灵阵，自然便是妖莲屠灵阵，以牧尘如今的实力以及对灵阵的造诣，布置出来的妖莲屠灵阵，比起以往，也是要显得更为的强大。",1
大主宰,第一百一十三章 被盯上,"那黄金鳄见到牧尘冲来，也是发出怒吼之声，那足以撕裂山岩的尾巴狠狠的甩出，然后轰中牧尘的身体，但却是诡异的穿透了过去，那竟是一道残影。“在上面。”
牧尘的身形，快若鬼魅般的出现在了黄金鳄头顶之上，他微微一笑，灵力陡然爆发出来，那股力量，竟是生生的将黄金鳄压塌在地，然后他双指带起金光，毫不犹豫的暴刺在了那黄金鳄脑袋之上。",1
大主宰,第两百九十五章 剿灭,"牧尘一声轻喝，幽黑灵力犹如狼烟般席卷，一拳轰出，数道燃烧着黑炎的灵力匹练便是狠狠的横扫而过，那凡是接触到灵力匹练的灵兵，几乎是在顷刻间蹦碎而去。

 而随着那些灵兵的蹦碎，一道道淡红色的灵光便是凝聚而出，最后被牧尘一把收起，这般收获让得他眼中忍不住的有些欣喜之色浮现，他们之前辛苦那么久，也才收获了数十道灵光而已，然而到了这里，才这么一会，收获就如此之大。

 寻找聚集点，果然才是在狩猎场中获得灵光的最好方式。",1
大主宰,第七百一十一章,"牧尘双手缓缓的摊开，他任由那战意风暴肆虐咆哮，他的意志，也是在此时尽数的融入了那狂暴的战意中…

 于是，那战意风暴，开始以一种惊人的速度膨胀起来。

 所有人的面色都开始变了，那吴天面庞上的狰狞，也是逐渐的凝固。

 因为他们都感觉到，牧尘周身的战意，竟然开始成倍的暴涨，短短数息的时间，竟然已经赶超了血鹰卫凝聚而成的战意！

 “怎么可能…”

 无数人震撼失声，他们望着那在战意风暴之中摊开双手的身影，一时间，竟是呐呐无言，这个年轻人，对于战意的掌控，竟是达到了这种程度吗？！",1
大主宰,第一百二十四章 金轮裂灵阵,"牧尘手指轻轻一点，那金色光轮顿时暴射而出，犹如一道金色闪电，撕裂长空，直奔那三头高级灵兽而去。

 金色光轮暴射而来，那三头高级灵兽浑身羽毛都是倒竖了起来，那眼中似是掠过一抹惊慌之色，显然，从这金色光轮上，他们察觉到了极端危险的波动。

 它们微微迟疑，突然陡然掉头，展开双翼，便是飞逃而去，高级灵兽已是拥有了一些灵智，知道趋吉避凶，它们清楚，若是让那危险的金色光轮正面击中，它们恐怕会必死无疑。",1
大主宰,第四百零八章,"牧尘凝神望去，玉骨表面异常的光滑，没有丝毫的瑕疵，犹如完美的艺术品，而因为玉骨晶莹剔透的缘故，牧尘竟然看见，在那玉骨之内，竟然还有着一滴滴呈现金黄色彩的血液，在缓缓的流淌。

 这玉骨之内，竟然还有天至尊精血存在？！

 牧尘望着那金黄色的血液，心头却是急促的跳动了起来，这可是天至尊精血啊，虽然只有寥寥数滴，但面对着这种东西，就算是至尊强者都得眼红，虽说这圣灵山脉在远古时期坐化了一位天至尊，但毕竟随着岁月的流逝，那位天至尊的一切所留都是被岁月侵蚀，就算是其强大精血，都是渐渐的化于天地间，但谁能料到，在这玉骨之内，还能有着数滴残存。

 这可是至宝啊！",2
大主宰,第三百九十三章,"牧尘居高临下的望着冲来的三道金光，唇角也是有着一抹笑容掀起，这是他第一次祭出大须弥魔柱，虽然是处于被镇压的状态，但这等太古凶器，又岂是寻常力量可以媲美，拥有了这般利器，牧尘足以轻易镇压任何通天境后期实力的对手。

 他双手虚抱，只见得那巨大的黑色魔柱猛然倒垂而下，犹如一座山岳，携带着滔滔煞气，仿佛蹦碎了虚无，直接是以一种无可阻拦之势，在那一道道骇然的目光中，重重的砸在那三道金光战偶之上。

 砰！

 惊天般的巨声响彻，只见得那巨大的黑色魔柱直冲而下，三座战偶举起金光巨手撑着柱子之底，试图将其生生的撑起，但这等太古凶器，又哪是它们能够对付，当即所有人都是见到，黑色魔柱冲下，最后嘭的一声，狠狠的落在那辽阔的石台之上，大地崩塌，那三座战偶，直接是被生生的砸进了地面深处！

 魔柱笔直矗立在刑台之上，周围有着一道道巨大的裂缝蔓延开来，即便在其下方镇压着三座战偶，但那魔柱，却是纹丝不动，散发着滔天的煞气。

 无数人睁大着眼睛望着这一幕。",1
大主宰,第八百零八章,"牧尘紧闭的双目，也是在此时一点点的睁开，那原本漆黑的眼瞳，在此时竟是变成黄金色彩，威严十足，令人感到窒息。

 金色的眼瞳，持续了一会，开始消退而去。牧尘也是有些茫然的低头望着毫发无损的身体，手掌缓缓紧握。他能够感觉到体内那奔涌的可怕力量。

 他的体内，仿佛是真正的隐藏了一条真龙以及真凤一般。

 他手掌摸了摸胸膛处的真龙之纹，旋即眼皮忍不住的跳了跳，因为他感觉这真龙之纹以及他背后的真凤之纹，仿佛是有着一种生命力一般。",2
大主宰,第七百零一章,"牧尘仿佛黄金般的拳头，再度轰出，直接是轰在了罗莽拳头之上，这一次，一股恐怖的力量犹如火山一般喷发而出。

 嘭！

 巨声响彻，然后众人便是眼瞳一缩的见到，罗莽的身体，竟是在此时倒射而出，最后在那地面上，撕裂出一条上千丈深深裂痕。

 烟尘升腾，一地狼狈，无数人却是在此时倒吸了一口冷气。

 这个少年，竟然一拳轰飞了罗莽！",1
大主宰,第一百九十五章 新老神魄第一的交手,"牧尘低低冷哼出声，体内灵力在此时毫无保留的席卷而出，雄浑的灵力夹杂着黑炎冲天而起。

 砰！

 那白衣青年拳风直接是被尽数的燃烧而去，他面色大惊，急急的暴退，但牧尘却是得势不饶人，身形一动，便是出现在那白衣青年身前，身体犹如炮弹一般，肩膀狠狠的撞击在其胸膛之上。

 低沉之声响彻，那白衣青年直接是被震得倒飞了出去，喉咙一甜，便是有着一丝猩红出现在其嘴角，身体上的衣衫，更是被牧尘先前那一撞，彻彻底底的震碎而去。

 哗。

 周围的天空，那些望着这里的视线，也是在此时爆发出一些惊哗之声，那白衣青年并不算无名之人，在北苍灵院中也算是有些名气，那等实力，绝对不弱于杨弘，但眼下，竟是在这刚刚接触间，便是被牧尘逼入了下风。",1
大主宰,第八十二章 完虐,"牧尘的拳头，缠绕着幽黑的灵力，没有丝毫闪避的硬憾在了那陈通倾尽全力的攻势之上，一道低沉闷声顿时响彻而起。

 一股狂暴的气浪，以两人为中心，席卷而开。

 牧尘的身体，纹丝不动，但那陈通的面庞却是涨红起来，下一瞬，其身体猛的一颤，竟是直接在那众多惊愕的目光中倒飞而出，然后搽着地面掠出十数米，这才狼狈的稳住。",1
大主宰,第两百九十六章 独自吃下,"牧尘倒是漠然的望着暴冲而来的灵将，旋即手指凌空轻点，那黑色光莲顿时冉冉绽放，恐怖的灵力在那莲心凝聚。

 咻！

 当那灵力凝聚到极限时，只见得黑色光莲猛的一震，一道漆黑如墨般的光束猛然自那莲心喷薄而出，然后犹如贯穿天地的黑色光柱，狠狠的轰击在那冲击而来的八只灵将身躯之上。

 砰！

 黑色光束最终落地，这片山脉，仿佛都是在此时颤抖起来，大地被撕裂，一道道沟壑自那山坳深处蔓延出来。",1
大主宰,第一百二十七章 碾压,"两人此时也是明白这一次遇见了硬茬，抹去嘴角的血迹，当机立断，立即暴退。

 “走哪去？！”

 牧尘黑色眸子中，冷光一闪，灵影步运转而起，竟是化为道道残影，还不待杨弓二人反应过来，已是出现在了他们身前，那泛着金光的凌厉双指，则是犹如锋利的金色神枪，停在了两人咽喉之处，那等凌厉之气，顿时令得两人咽喉处有着鲜血渗透出来。

 “再动，就死。”

 牧尘淡漠的看了两人一眼，那没有多少情感波动的声音，顿时令得两人身体陡然僵硬了下来。",1
大主宰,第两百八十一章 第八层,"雷域之外，一片骚动，无数人面面相觑，都是看出对方眼中的难以置信，虽说如今的牧尘在北苍灵院已算是名人，但不论如何，他毕竟没有真正正统的表现过什么，与李玄通的交手，只是三招之约，之前上妖门总部，那也是因为事先布置好了灵阵，而且鹤妖显然有所留手，并不想因为牧尘而暴露实力，所以这些事情虽然能够增长牧尘的名气，但却并不能让他真正的超越鹤妖之流。

 但眼下，这雷域碑上面的动静，却是让人终于有了一个直观的认识，这个榜单或许没有天榜来得那么直接，但也是一个份量不轻的榜，从这里，能够看出一些学员所隐藏的实力。

 而牧尘，却是能够成功冲刺进入那雷域第八层，这岂不是说，已经超越鹤妖等人，追赶上李玄通了？

 这新生，也太厉害了吧？",1
大主宰,第两百七十三章 十阵之威,"接触的霎那，众人都是能够清晰的见到那一道道光幕几乎是在顷刻间破碎，那十道扭曲在一起的光柱，以一种势如破竹的冲势，横扫而过，广场的地面，都是在那种灵力的横扫下，震裂出一道道巨大的裂缝。

 噗嗤。

 一道道身影狼狈的吐血倒飞而出，那后方的陈厚等人见到那十道光柱竟然如此凶悍，面色也是大变。

 轰！

 十道横扫而来的灵力光柱，再度冲击在他们身前所形成的灵力光幕上，顿时光幕震荡不已，一波波的涟漪，急速的扩散着。",1
大主宰,第四十一章 作弊,"而在他们的注视下，牧尘终于是缓缓的伸出了手掌，然后众人便是目瞪口呆的见到，在其手中，五个光团升腾着，每一个光团的灵力波动，都不比那火灵猿王的灵兽精魄弱。

 这五个光团，竟然全都是灵轮境后期的灵兽精魄！

 牧尘捎了捎头，望着面色铁青的柳慕白，微微一笑：“不好意思啊，前些天有五头灵轮境后期的中级灵兽打群架，然后五败俱伤，所以我就上去把它们都干掉了。”

 众人齐齐吐血，这家伙，这种理由，是专门来讽刺柳慕白的吗？",1
大主宰,第四百零二章,"而在目光注意到那团耀眼灵光时，后者突然爆发出了强烈的光芒，那种光芒，甚至令得这昏暗的天地都是明亮了一瞬。

 而也是借助着这霎那间的明亮，牧尘看见了那光芒之中，似乎是一截莹白色的东西，有点类似骨头...

 “那是什么...”

 牧尘喃喃自语，不过旋即他面色突然一变，手掌忍不住的摸上了胸膛，他感觉到气海之内，突然传出了一股颤动，而当他感应到那颤动的来源时，心脏都是激烈的跳动了起来。

 因为那源头，竟然来自他气海之内那神秘无比的一页黑纸！

 而且，这种颤动，比以往任何一次都要显得激烈！",2
大主宰,第一千七十一章 战九品,而在龙臂至尊前方，则是双手微垂，神态平静的牧尘，他的双目似闭微闭，周身磅礴灵力萦绕，空间震荡间，也是显露出了一些不凡。轰。不过面对此刻的牧尘，那龙臂至尊仅仅只是淡漠一瞥，下一霎，其眼中便是有着精光爆发而出，他猛然伸出脚掌，重重的一跺。,1
大主宰,第两百八十七章 渡劫成功,"而随着那最后一道神雷落尽，天空上，那黑神雷云也终于是彻彻底底的消散而去，在雷云散去的那一刻，九幽雀的身体，突然间爆发出了耀眼的光芒。

 那些光芒极为神异，笼罩着九幽雀，在那种光芒的照耀下，九幽雀身躯上的狰狞伤痕，竟是在一点点的愈合起来。

 “渡劫成功了吗？”

 九幽雀喃喃自语，那眼中流露出难以自抑的激动，它能够感觉到，它的身体内部，在开始出现巨大的变化。

 那是一种真正的蜕变。

 从身躯到血脉！",1
大主宰,第六十七章 一页黑纸镇灵雀,"而随着那九幽雀被困，气海中的那种暴动也是逐渐的平息下来，黑色火焰也是开始消退，最后化为一只不过婴儿拳头大小的迷你型九幽雀。

 它愤怒的挣扎着，但却丝毫逃脱不了那暗紫色的曼荼罗花，因此逐渐的它只能停歇下来，满含恨意与凶狠的双目缓缓的闭上，准备着储蓄力量，再待时机。

 牧尘则是目瞪口呆的望着气海内的这番神奇争斗，许久后方才有些茫然的回过神来，他望着那一页薄薄黑纸上的暗紫色曼荼罗花，眼神呆呆的。

 这就被解决了？",2
大主宰,第九十四章 九天雷灵阵,"而就在杨鬼受创急退间，一道充满着杀气的冷喝声，陡然自其后方响彻而起，他急忙转身，然后便是见到雷山暴掠而来，后者整个身体都是被金光包裹，在其后方，那金甲穿山兽犹如与其人兽相合，唰的一声，便是带起一股无法形容的锋锐，生生的自其胸膛处穿透而出。

 杨鬼的身体，陡然凝固，他艰难的缓缓低头，只见得在其胸膛处，出现了一个两尺左右的血洞，鲜血滚滚而出。

 整个山顶，仿佛都是在此时安静了下来，那些邙阴山的人马惊骇的望着这一幕，旋即眼中有着恐惧之色涌出来。

 牧尘见状，也是如释重负的松了一口气，一屁股瘫坐了下来，杨鬼已死，今曰之战，这邙阴山与柳域，输定了。",1
大主宰,第一百九十五章 取巧,"而就在他们有些讶异间，那光幕之中，镇守者冰冷的身躯表面，突然有着极为紊乱的灵力波动涌现，而后那甲胄后的猩红视线，也是开始一点点的黯淡下来，最终归于黑暗。

 “怎么回事？”烛天长老见状，顿时一怔，惊讶的道。

 “他破坏了镇守者身躯之上隐藏的灵阵，隔断了我与镇守者间的联系。”光幕波动着，一道意念传出来。

 “哦？”

 烛天长老与那白发老者不由得惊咦出声，他们自然是知道灵诀殿能够艹控那些镇守者，是因为后者身躯上设置了灵阵，但那种灵阵相当复杂，如果找不准中枢，仅仅只是随意破坏的话，并不能令灵阵无用化，但眼下这牧尘，竟然是办到了。

 这种眼力以及对时机的把握，让人感到惊叹。",1
大主宰,第八百二十三章,"而当那些黑色花纹蔓延开来的时候，邱太阴的面色却是剧变起来，因为他感觉到那些黑色花纹蔓延的地方，太阴法身之中的庞大灵力竟是在以一种极快的速度开始消散。

 那种消散不论他如何的制止，都是毫无作用。

 “怎么会这样？！”邱太阴心中咆哮起来，不过他的咆哮显然是无用之举，短短不过十数息的时间，所有人都是见到太阴法身周身的阴寒之力越来越淡薄，而其庞大的身躯也是在此时迅速的变得透明，淡化，那是灵力无法维持至尊法身的表现。

 而伴随着至尊法身的灵力消散，那邱太阴的面色也是越来越苍白，至尊法身与本尊相连，因此至尊法身灵力的散逸，对他也是极大的重创。

 一种虚弱的感觉，从邱太阴身体之中蔓延出来，他脸庞铁青，显然是没想到牧尘的灵阵攻击竟然会这么的诡异，虽说那墨黑光束似乎没有任何的破坏力，但这种令得灵力消散的诡异能力，却是堪称致命。",1
大主宰,第三十八章 反杀,"此时的血屠，身形已是变得格外的迟钝，牧尘瞬间接近，那黑眸中掠过一抹冰寒之色，黑光直接是划过了血屠双目。

 鲜血溅射。

 血屠凄厉的惨叫声，也是在此时响彻而起，双臂疯狂的乱舞，试图将牧尘轰杀。

 然而牧尘却是身形一拐，出现在了血屠身后，手中匕首犹如毒蛇一般，狠狠的刺进血屠后背心要害处，匕首整个没入。

 鲜血顺着匕首不断的滴落，那血屠疯狂挥舞的身体陡然凝固，然后缓缓的倒塌下来，那张惨白的脸庞上还残留着难以置信。

 他堂堂灵轮境后期的强者，竟然栽到了一个灵动境的少年手中？",1
大主宰,第一百一十四章 杀鸡儆猴,"不过就在他们心中掠过这道念头，正准备撤退时，一道急促破风声陡然响彻，然后他们便是见到一道模糊的影子出现在了他们身前，那泛着金光的双指，带着锐利无比的劲风，停留在了他们咽喉处。

 两人的身体陡然僵硬下来，不敢再有丝毫动弹，那眼中，惊恐之色也是涌了出来。

 “这点本事，也学人来抢劫，会不会太高看自己了？”牧尘望着面前那两张有些苍白的面庞，微微一笑，道。",1
大主宰,第两百三十四章 反杀,"不过此时已是因为这记出其不意的回马枪而大有收获的牧尘，自然是不会愿意被他拼成重伤，手腕一抖，长剑掠回，双指紧夹剑尖，剑身倾泻，正好是挡在了那泛着寒芒的矛尖之上。

 火花溅射。

 牧尘的身形则是在此借助着那股推力倒飞而出，犹如黑夜中的蝙蝠，落进黑暗森林中，眨眼间便是消失不见。

 “该死的小子！”

 那三人望着落到他们面前的那冰凉尸体，眼中充满了暴怒，他们四人都是融天境后期的实力，而且个个惊艳丰富，若是联手的话，就算是一名化天境初期的强者都能够抗衡，没想到眼下，竟然被一个不过融天境初期的小子一记回马枪杀得这般狼狈。

 不仅损失一人，而且其中一人还被废了一只手，战斗力锐减！",1
大主宰,第一百一十四章 杀鸡儆猴,"不过，就在他那雄浑掌风即将与牧尘硬碰时，后者目光一闪，那身影竟是再度消失而去。

 少年一掌落空，瞳孔陡然紧缩，急忙转身，然后便是有些骇然的见到金光自背后暴射而来，最后狠狠的落在了他肩膀之上。

 噗嗤。

 闪烁着金光的指风，犹如最锋利的长枪，直接是刺穿了少年肩膀，鲜血溅射而出，他也是一声惨叫，倒飞了出去。",1
大主宰,第一百二十四章 金轮裂灵阵,"伴随着牧尘心神一动，那掠过天空的金色光轮速度猛然暴涨，犹如撕裂天空的金色雷霆，唰的一声便是追上了一头高级灵兽，然后射中它的身体。

 嗤！

 高速旋转的金色光轮，拥有着极为惊人的杀伤力，即便是面对着防御力强横的高级灵兽，也是在霎那间撕裂了那层层防御，直接是从其身躯之中洞穿而出。

 漫天鲜血溅射。

 伴随着一道凄厉的尖鸣声，那高级灵兽顿时栽落而下。

 金色光轮解决掉一头高级灵兽，去势依旧不减，追上第二头，第三头，然后皆是从它们身躯之中洞穿而出。

 噗噗。

 大量的血雾从天空中蔓延开来，犹如一团血云，金色光轮在接连洞穿了三头高级灵兽后，方才因为灵力耗尽，逐渐的消散而去。",1
